# STEREO Data for run titled "SNR0.6"
#
# Total Number of Trials: 8794.0
# Solved Trials: 1008.0, 16.909914443885253% (of attempted solves), 11.462360700477598% (total)
# Solver Fails: 4887.0, 81.98288877705083% (of attempted solves), 55.5719808960655% (total)
# Timeout Fails: 66.0, 1.1071967790639154% (of attempted solves), 0.7505117125312714% (total)
# Low Star Counts (<4): 2833.0, 32.21514669092563%
# Total Data Collection Time: 0.7213145587077856 hrs
# skip_header = 23
#
# Column Notes
# num: Data Index
# solved: 1 = Success, 0 = Fail, -1 = Undetermined (low star count or timed out)
# alt_error: Error in Altitude (from 45 deg)
# A4_index: Index used for ANITA4 data
# star_ct: Number of Stars in the field
# real_ra: Real RA of the center of the field in degrees
# real_dec: Real DEC of the center of the field in degrees
# ra: Result RA of the center of the field in degrees
# dec: Result DEC of the center of the field in degrees
# solve_time: Total time taken to solve (or fail) in seconds
#
# num     solved     alt_error     A4_index     star_ct     real_ra     real_dec     ra     dec     solve_time     snr     rotation
184     -1     -999     3072     3     56.55720409093643     -45.90595212126994     -999     -999     -999     0.6      0
185     0     -999     35176     6     262.43924905859666     -43.37414242167764     -999     -999     0.028986018151044846     0.6      0
186     0     -999     28737     17     122.1790423748169     -49.05533544850146     -999     -999     32.140081049874425     0.6      0
187     0     -999     6867     7     252.33875586348213     -33.90350954137193     -999     -999     0.019304919987916946     0.6      0
188     -1     -999     4224     1     29.40519067718909     -35.83498480007966     -999     -999     -999     0.6      0
189     -1     -999     13057     2     36.63620746181255     -48.06360609821539     -999     -999     -999     0.6      0
190     0     -999     20275     7     199.68025788555383     -40.77471775205389     -999     -999     0.02094102092087269     0.6      0
191     0     -999     19410     6     273.1207242557849     -38.42642262447262     -999     -999     0.01750420778989792     0.6      0
192     0     -999     17300     5     13.128659441919122     -54.0123542303346     -999     -999     0.02957601100206375     0.6      0
193     -1     -999     25001     1     306.34599871522073     -50.10454140627434     -999     -999     -999     0.6      0
194     0     -999     14014     6     206.49782127685933     -40.069402450509074     -999     -999     0.017503974959254265     0.6      0
195     0     -999     28519     10     266.2928219907826     -41.3187782435845     -999     -999     0.052492134273052216     0.6      0
196     0     -999     27274     7     224.28139416383604     -45.81622222678323     -999     -999     0.01546996645629406     0.6      0
