# STEREO Data for run titled "SNR1"
#
# Total Number of Trials: 3304.0
# Solved Trials: 1008.0, 46.25975217989904% (of attempted solves), 30.508474576271187% (total)
# Solver Fails: 1150.0, 52.77650298301973% (of attempted solves), 34.80629539951574% (total)
# Timeout Fails: 21.0, 0.9637448370812299% (of attempted solves), 0.635593220338983% (total)
# Low Star Counts (<4): 1125.0, 34.049636803874094%
# Total Data Collection Time: 0.2884247080047175 hrs
# skip_header = 23
#
# Column Notes
# num: Data Index
# solved: 1 = Success, 0 = Fail, -1 = Undetermined (low star count or timed out)
# alt_error: Error in Altitude (from 45 deg)
# A4_index: Index used for ANITA4 data
# star_ct: Number of Stars in the field
# real_ra: Real RA of the center of the field in degrees
# real_dec: Real DEC of the center of the field in degrees
# ra: Result RA of the center of the field in degrees
# dec: Result DEC of the center of the field in degrees
# solve_time: Total time taken to solve (or fail) in seconds
#
# num     solved     alt_error     A4_index     star_ct     real_ra     real_dec     ra     dec     solve_time     snr     rotation
96     0     -999     15554     6     104.94121385647423     -38.19981090430178     -999     -999     807.3267659638077     1.0      0
97     1     0.001549912122122521     34275     5     174.92114447214848     -48.9774875164571     174.9177203507441     -48.9759675297958     98.45927800051868     1.0      0
98     -1     -999     20136     1     336.21204199723303     -51.56541946602065     -999     -999     -999     1.0      0
99     1     -0.0012558862097691303     36090     8     274.06044416064657     -46.82768699160094     274.06016967238423     -46.82894677193432     129.7673189546913     1.0      0
100     1     1.2632239680954171e-05     21886     5     62.50913149587626     -44.29540220364345     62.50924457435036     -44.295374228498474     272.66677003353834     1.0      0
101     1     -0.0005714878037537119     11393     8     321.392088796652     -41.12452384996597     321.39196867588987     -41.12508887778844     240.65471021458507     1.0      0
102     1     -0.00023039697452276187     4626     5     87.19131976522006     -38.316964967966705     87.1915192896551     -38.31716804800978     249.13422600366175     1.0      0
103     -1     -999     2158     2     318.71607841296213     -35.97443989745146     -999     -999     -999     1.0      0
104     0     -999     3767     5     24.721000045902933     -45.15056151183738     -999     -999     0.020413193851709366     1.0      0
105     -1     -999     23493     2     83.21460983698219     -44.034419607877155     -999     -999     -999     1.0      0
106     -1     -999     24895     3     351.810303077672     -48.787385071077395     -999     -999     -999     1.0      0
107     0     -999     32440     4     243.7654167900928     -42.00801785244259     -999     -999     357.7933351043612     1.0      0
108     -1     -999     29957     0     329.31341666821135     -45.0904408456902     -999     -999     -999     1.0      0
109     -1     -999     18871     2     160.92627617076988     -37.10514954492526     -999     -999     -999     1.0      0
110     1     -0.0008781333165401861     19576     6     236.5975078395515     -47.83138910361823     236.59718206676416     -47.83232405998028     88.79049005918205     1.0      0
111     0     -999     2486     6     316.9733192607531     -41.681050754702575     -999     -999     52.02162102796137     1.0      0
112     1     -0.0008632302957707338     21609     7     241.18986071585803     -52.718866089823536     241.1891582696581     -52.71970442343919     76.68924005702138     1.0      0
113     -1     -999     25701     2     41.27589379215101     -45.61346047955474     -999     -999     -999     1.0      0
114     1     -0.004107813761663692     28224     5     341.38814657645463     -48.99938757890696     341.3908545468468     -49.00357521726584     131.8277691025287     1.0      0
115     -1     -999     33569     3     283.4309900093173     -45.9258442023959     -999     -999     -999     1.0      0
116     0     -999     22144     4     87.22134856442912     -48.17998514752279     -999     -999     0.3005529288202524     1.0      0
117     -1     -999     1844     1     35.09857482672081     -53.92939182810052     -999     -999     -999     1.0      0
118     0     -999     3724     4     62.463483403617694     -51.75089692193768     -999     -999     0.02642907202243805     1.0      0
119     1     -0.0010802523434421119     22685     6     31.567584926769193     -42.56710187441925     31.56741924898319     -42.56817648641725     245.67198986187577     1.0      0
120     0     -999     17188     4     188.25245780553396     -37.79954014479187     -999     -999     113.12941089272499     1.0      0
121     1     -0.002419011186894693     24208     14     255.78359218401485     -42.75102653051896     255.7829579369622     -42.7535133289202     82.2787331417203     1.0      0
122     -1     -999     11251     3     166.6728559627023     -40.87269992318047     -999     -999     -999     1.0      0
123     1     0.00021465595905567625     22551     11     123.73049006633136     -51.963826605898106     123.73025585448917     -51.96361519685824     136.47536118514836     1.0      0
124     0     -999     32048     5     174.4888038657126     -40.96449155228367     -999     -999     226.00407199934125     1.0      0
125     -1     -999     10745     2     315.0987481795191     -53.92746820748961     -999     -999     -999     1.0      0
126     0     -999     5781     5     268.05058711354843     -51.454574519470206     -999     -999     151.41239296644926     1.0      0
127     1     -0.0015369981905095642     22332     6     303.4354486161543     -41.788525074088426     303.43459388781184     -41.78998568171619     24.291928857564926     1.0      0
128     1     -7.07732154836549e-05     30805     6     11.775383763861612     -46.98593488011111     11.776091827950825     -46.98604874879283     846.2843238376081     1.0      0
129     -1     -999     21490     3     324.4024013577364     -45.48605771913467     -999     -999     -999     1.0      0
130     1     -8.725702225120813e-05     28096     8     93.55916335411383     -43.61597517027978     93.55640700571533     -43.61625296652924     17.66531402245164     1.0      0
131     -1     -999     29702     3     338.35841854533356     -41.33111457322759     -999     -999     -999     1.0      0
132     -1     -999     31469     3     57.13822363954716     -41.09952256918975     -999     -999     -999     1.0      0
133     1     -0.00047690305881076256     9334     6     178.4096372290495     -36.27470671268429     178.4080930755989     -36.27497582406014     35.664779134094715     1.0      0
134     0     -999     8692     4     233.23026893070679     -51.63653268305138     -999     -999     413.3123829960823     1.0      0
135     0     -999     1527     5     26.349142525424178     -53.432936456956945     -999     -999     90.94383986666799     1.0      0
136     0     -999     36128     6     62.98148346675781     -43.20619463100454     -999     -999     0.0341879203915596     1.0      0
137     0     -999     31076     5     203.59938933381883     -47.1628741747897     -999     -999     600.7859730161726     1.0      0
138     1     -0.00040655078946372214     36201     6     172.85568027307986     -44.465425550106296     172.8545261526825     -44.46579860522078     211.68361604213715     1.0      0
139     0     -999     19158     4     213.73688046927057     -37.87587008678411     -999     -999     0.012618955224752426     1.0      0
140     -1     -999     20362     3     316.52206394377134     -53.5918541090354     -999     -999     -999     1.0      0
141     -1     -999     21513     2     330.128939758722     -45.34866636400393     -999     -999     -999     1.0      0
142     -1     -999     1958     1     292.174608654897     -37.00217032473161     -999     -999     -999     1.0      0
143     0     -999     31430     8     220.01546721046486     -49.05121787001399     -999     -999     0.015220139175653458     1.0      0
